Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S3252:  ""Use static access with com.drew.metadata.exif.ExifDirectoryBase for TAG_ORIENTATION.""",CRITICAL,5min,Key: AXaPGVzT8LKHpH7XnEPX Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ExifHelper.java - startLine: 51;startOffset: 50;endOffset: 65;endLine: 51,Maintenance (Code Smells)
To-Do,New,Normal,"java:S131:  ""Add a default case to this switch.""",CRITICAL,5min,Key: AXaPGVzT8LKHpH7XnEPY Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ExifHelper.java - startLine: 61;startOffset: 8;endOffset: 14;endLine: 61,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1452:  ""Remove usage of generic wildcard type.""",CRITICAL,20min,Key: AXaPGVq18LKHpH7XnEMq Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-model/src/main/java/org/sejda/model/input/ImageMergeInput.java - startLine: 48;startOffset: 18;endOffset: 19;endLine: 48,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1186:  ""Add a nested comment explaining why this method is empty throw an UnsupportedOperationException or complete the implementation.""",CRITICAL,5min,Key: AXaPGVzW8LKHpH7XnEPb Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ImagesToPdfDocumentConverter.java - startLine: 141;startOffset: 16;endOffset: 27;endLine: 141,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1186:  ""Add a nested comment explaining why this method is empty throw an UnsupportedOperationException or complete the implementation.""",CRITICAL,5min,Key: AXaPGVzW8LKHpH7XnEPc Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/image/ImagesToPdfDocumentConverter.java - startLine: 145;startOffset: 16;endOffset: 26;endLine: 145,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5361:  ""Replace this call to replaceAll() by a call to the replace() method.""",CRITICAL,2min,Key: AXaPGV0B8LKHpH7XnEQL Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 195;startOffset: 46;endOffset: 56;endLine: 195,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5361:  ""Replace this call to replaceAll() by a call to the replace() method.""",CRITICAL,2min,Key: AXaPGV0B8LKHpH7XnEQM Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/util/FontUtils.java - startLine: 195;startOffset: 71;endOffset: 81;endLine: 195,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.""",CRITICAL,7min,Key: AXaPGVzM8LKHpH7XnEPS Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/AnnotationsDistiller.java - startLine: 124;startOffset: 17;endOffset: 41;endLine: 124,Maintenance (Code Smells)
To-Do,New,Normal,"java:S2093:  ""Change this try to a try-with-resources.""",CRITICAL,15min,Key: AXaPGVzc8LKHpH7XnEPg Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-sambox/src/main/java/org/sejda/impl/sambox/component/PageImageWriter.java - startLine: 168;startOffset: 8;endOffset: 11;endLine: 168,Maintenance (Code Smells)
To-Do,New,Normal,"java:S5783:  ""Refactor the body of this try/catch to not have multiple invocations throwing the same checked exception.""",CRITICAL,,Key: AXaPGVwa8LKHpH7XnEOP Path: 2020-mmqs-main-java--org.sejda:sejda-parent:sejda-core/src/test/java/org/sejda/core/support/io/OutputWriterHelperTest.java - startLine: 169;startOffset: 8;endOffset: 11;endLine: 169,Reliability (Bugs)
